,2161872
Jim Williams 4 Senate 12, PO Box 2811, Anniston, AL 36202,27000
Alabama Today.,26991
Ron Johnson for State House,26000
MGM NXT PAC,26000
Friends of Frank Barger, P.O. Box 2053, Huntsville, AL 35804,25979
Committee to Elect Donna Smalley for Alabama Supreme Court ,25917
Patagonia ,25859
Committee to Elect Judge Bob Vance,25535
Phil Sims Guntersville, Al. 35976,25000
Delivered Digital Marketing,25000
Committee to Elect Steven Curtis, 217 Palos Verdes Drive, Troy, AL 36079,25000
Michael Edmondson ,24987
the Voter Participation Center,22497
FirstQuoteHealth,21389
Chris Christie for Alabama AG PO Box 59141 Birmingham AL 35259,20926
Jamie Kiel Campaign 14696 Hwy 43, Russellville, AL 35653,20483
NumbersUSA,20003
Friends of David Wheeler, 2532 Crossgate Place, Vestavia Hills, AL 35216,20000
Friends of Danner Kline,20000
the Alliance for Alabama’s Infrastructure, 2 North Jackson Street, Montgomery, AL 36104,19000
Committee to Elect Marcus Vandiver,19000
James Dolan for Alabama House District 1 110B Tuscaloosa St. Florence, AL 35630 ,18538
Committee to Elect Cara McClure  ,18000
The Committee to Elect Heather Milam, P.O. Box 320882, Birmingham, AL 35232,17466
Todd Entrekin,17000
the Committee to Elect Jacqueline Gray Miller,16000
The Committee to Elect Jimmy Nunn,16000
Paid for by Alabama House Democratic Caucus PO Box 131 Montgomery, AL 36101 ,16000
Committee to Elect Will Barfoot, 4280 Wallahatchie Road, Pike Road, AL 36064,16000
Jeffcoat for House 81,15996
Friends of Jimmie Stephens, P.O. Box 3628, Hueytown, AL 35023,15920
Harry Shiver Campaign,15805
Keep and Bear,15698
#VoteTogether,15183
Tom Butler for State Senate,15000
Paid political ad by Committee to elect George Zoghby, P.O. Box 817-0817, Mobile, AL 36601,15000
Kari Powell for PSC,15000
David Law for Circuit Judge PO Box 217 Rockford, AL 35136,15000
Yellowhammer Fund,14034
Friends of Phillip Ensler,14000
Concealed Online,13426
Conservative Gear,12478
National Rural Electric Association,12440
Mary Jane Caylor for City Council,12000
Ed Oliver,12000
Committee to Elect Chad Young 100 Francis Ave. ste A Muscle Shoals, AL 35661,12000
PEBBLIN W. WARREN CAMPAIGN FUND PO BOX 876 TUSKEGEE INST. AL, 36087,11998
Melanie Hill for State Board of Education District 2, Treasurer Kelli Pylant, 109 Princeton Drive, Dothan, AL 36301,11986
AAF Nation, LLC,11681
the ACLU,11510
Todd Rauch for Alabama,11000
The Monroe County Republican Party,11000
The Committee to Elect Will Benton, P.o.Box 185 Cottondale, Al 35453,11000
National Loan Programs,11000
Johnny Mack Morrow Senate Campaign,11000
Committee to Elect Rob Robertson  PO Box 2332, Tuscaloosa, AL 35403,11000
Tim Ramsey Campaign 399 Canoe Creek Rd, Rainbow City, AL 35906 ,10849
4Ocean, LLC,10110
Planned Parenthood Federation of America,10099
Yale Program on Climate Change Communication,10039
Color Of Change,10014
the Committee to Elect Jackie Anderson-Smith,10000
the Baldwin County Republican Party,10000
Yellowhammer News,10000
The SOS Survival Fund,10000
Paid for by the Committee to Re-elect Commissioner George Bowman,10000
James Hedgspeth for Etowah County Probate Judge PO Box 1036, Gadsden, AL 35902,10000
Friends of Allen Farley, P.O. Box 516, McCalla, AL 35111,10000
Committee to Elect Brian McGee, PO Box 435, Valley, AL 36854,10000
Cody Nugent for Coroner,10000
CItizens to Elect Mirarchi,10000
Bell Media LLC,10000
The Robert McKay Campaign,9991
Committee to Elect David Northcutt, P.O. Box 515, Montrose, AL 36559,9941
Donald J. Trump for President, Inc.,9786
The Committee To Elect Al Booth 512 Wetumpka Street Prattville, AL 36067,9000
Jim Bonner for PSC,9000
Committee to Elect Michael Bunn, 200 S Brundidge St, Troy, AL 36079,9000
Swing Left. Not authorized by any candidate or candidate's committee.,8806
NowThis,8717
Peter Joffrion for Congress,8393
the Committee to Elect Sonny Steen, 203 Hollywood Road, Gadsden, AL 35901,8000
East for Probate Judge, PO Box 83, Daviston, AL 36256,8000
CAMPAIGN TO ELECT MITCHELL JAMES,8000
Francis Paul Ripp,7993
Airbnb,7601
Katie Hill for Congress,7516
Boeing,7227
Joe Kennedy for Congress.,7202
Supporting American Values,7111
the Committee to Elect Nancy Carlton Bendinger, P.O. Box 1869, Auburn,AL 36831,7000
john taylor campaign 504 chandler st dothan al. 36301,7000
The Mike Holmes Campaign,7000
Michael Dozier Campaign, P.O. Box 613 Wetumpka, AL 36092,7000
Friends of Lee Hamilton, P.O. Box 68, Dadeville, AL 36853.,7000
AG Crowe for Secretary of State,7000
the ASPCA,6593
Global Citizen,6406
the Committee to Elect Nancy Carlton Bendinger,6000
Tennessee Riverkeeper,6000
Friends of Nicki Arnold-Swindle, PO Box 1733 Anniston, Alabama 36202,6000
Friends of Howard Sanderford, 908 Tannahill Drive, Huntsville, AL 35802,6000
Alabama Today,6000
Adam Jortner for Alabama Board of Education,6000
Todd Rauch for Alabama, P.O. Box 2403, Opelika, AL 36803,5999
Democratic Victory Fund, PO Box 407, Montgomery AL 36101,5998
Turning Point USA,5951
The Committee to Elect Robert Kennedy, Jr. to U.S. Congress,5856
Winning For Women, Inc.,5802
Friends of Sam Givhan, 100 Washington St., Huntsville, AL 35801,5753
Sierra Club,5545
Proud Right Winger,5513
Daily Wire,5410
the United Association and not authorized by any candidate or candidate's committee.,5370
Ten Commandments Amendment PAC, PO Box 1762, Orange Beach, AL  36561,5000
Stutts for Senate,5000
Scott Lloyd for Circuit Judge,5000
Roger Stone,5000
Robert Byrd for Coroner, 100 Nottoway Blvd. Dothan, AL 36303,5000
Paid for by Friends of Andrew Jones  690 County Road 202 | Centre, AL 35960,5000
Friends of Kenneth Gulley,5000
Family Equality Council,5000
FRIENDS OF MIKE BALL 105 CANTERBURY CIRCLE MADISON, ALABAMA 35758,5000
DEMOCRATIC VICTORY FUND | PO BOX 407, MONTGOMERY, AL 36101,5000
Bright for Congress,5000
Paid for by Friends of Andrew Jones,4980
Diversity Incorporated,4977
Political advertisement paid for by the campaign to elect Debbie Wood  3011 20th Avenue Valley, Al. 36854,4920
Phil Segraves for House District 17,4893
Dinesh D'Souza,4800
Mainstream Voters of Washington, Democrat,4740
Chris Gulley 119 Olcott Ave Bridgeport AL 35740,4739
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,4412
ExxonMobil,4255
Ginny Shaver Campaign, PO Box 348, Leesburg, AL 35983,4000
Committee to Elect C. Terry Jones, P.O. Box 228 Meridianville, AL 35759,4000
Beto for Texas,3880
STAND FLAG POLES,3853
Everytown for Gun Safety Action Fund,3768
The Committee To Elect Amy Bryan ,3598
BRANDON NEWSOM REP, FOR HOLMES COUNTY COMMISSIONER DIST 2,3326
Mic,3011
The Committee to Elect Emily Page Steele Monroe County District Judge 3 W. Claiborne St. Monroeville, AL 36460,3000
The Alabama Democratic Conference, 424 S. Decatur Street, Montgomery, AL 3604,3000
Rocket City Young Democrats,3000
Hoover Forward,3000
Danny Shears, 2108 Marian Lane, Oxford, AL 36203,3000
Committee to Elect Matt Shelby,2998
Need to Impeach,2986
C-SPAN,2800
and Authorized by  Andrew Janz for Congress.,2559
Comedy Central,2527
NBCUniversal Media, LLC,2523
JVMI,2475
Catholic Relief Services,2350
The Western Journal,2281
America First Policies,2257
Kamala Harris for Senate,2208
UsAgainstAlzheimer's,2180
NRSC,2172
2A4LIFE LLC,2137
SOLAR ENERGY TODAY,2100
the Committee to Re-Elect Tim Choate, 181 Island Drive, Gadsden, AL 35901,2000
Whitney Webb,2000
The Committee to Elect Hanu Karlapalem for Limestone County Commissioner District 3,2000
The Committee to Elect Cory Creel,2000
Shannon Moore,2000
Phillip Pettus for Alabama House District 1,2000
Lindsey Deckard for Alabama State Representative,2000
Les Tillery for City Council District 2 P.O. Box 18162 Huntsville, AL 35804,2000
Lauderdale County Democratic Party,2000
Kevin Drummond,2000
Johnny Mack Morrow for State Senate,2000
John Shearon, 810 Wilson Road, Clanton, AL 35045,2000
Jefferson County Democratic Party, Box 10522, Birmingham 35202,2000
Friends to Elect Silas Isaiah Baldwin for Bessemer City Council District 7,2000
Friends of the Shoupe Monument,2000
Friends of Jeff Williams,2000
Elect Pamela Howard - Alabama House Dist 40,2000
Committee to Elect Carolyn Parker, 2600 East Meighan Boulevard, Gadsden, AL 35903,2000
Clete Wetli,2000
Alabama Puppy Mill Project P.O. Box 361741 Birmingham, AL 35236,2000
Consumer Alert Services,1985
NRATV,1972
Teflon Film LLC,1958
Rich Shumate,1949
Stacey Abrams for Governor,1930
Randy Boyd for Governor,1928
Webinar Technologies,1874
DCCC,1861
Mississippi Development Authority,1845
Oceana,1766
Kevin McCarthy for Congress,1740
Rustic Edge Marketing,1735
Premiere Collectibles,1674
Circa,1658
the Physicians Committee for Responsible Medicine,1647
Dogwood Alliance,1642
Pfizer,1640
Real Justice PAC and not authorized by any candidate or candidate's committee.,1639
McKenzie Healthcare Advocacy, LLC,1608
Conservatives for a Stronger Georgia,1586
PrintedKicks,1583
Patriotic Drop Shop,1579
 Committee to Elect John M. Hoppough,1554
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,1517
the DSCC,1512
Philip Levine, Democrat, for Governor,1490
BRITE Coalition.,1485
Ranker,1396
Energy Citizens,1337
the National Democratic Redistricting Committee,1317
Ben Ferguson Show,1314
UnitedHealthcare,1301
Committee to Elect Rick Head,1301
Stand for Children, Inc. ,1258
LifeZette Inc.,1252
The Wilderness Society,1246
The Years Project,1212
Tennessee Republican Assembly,1212
Charlie Kirk,1207
Proud American Hunter,1165
Healthy Living Initiative ,1146
Amnesty International USA,1129
The Poor People's Campaign: A National Call for Moral Revival,1123
Blue Wave 2018,1101
Emerge America,1060
FreightWaves,1054
National Education Association,1040
Make Our State Great Again,1038
Republicans for the Rule of Law,1037
the Democratic Governors Association.,1015
State Policy Network,1010
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,1009
the committee to elect Jared Millican,1000
the campaign to elect Franklin Fortier,1000
Willie Gray for House 102,1000
The committee to elect Judge Wes Allen, PO Box 150, Troy, AL 36081,1000
The Party of Reason and Progress, a 527 political organization, through its Facebook-authorized executive staff.,1000
The Committee to Elect Linda Hall,1000
The Campaign to Elect Adline Clarke,1000
Rosemary Schexnayder,1000
Resolute News,1000
Parker Griffith 101 Lowe Ave. Suite 3A Huntsville, AL 35801,1000
National Solar Rebate,1000
Mobile Chapter of The University of Alabama National Alumni Association,1000
Madison Co GOP P.O. Box 2301 Huntsville, AL 35804,1000
Jacob Morrion,1000
Hoover Democrats,1000
Guardians of Old Daphne neighborhood group in downtown Daphne, Alabama,1000
DONNA BEAULIEU FOR CRIMINAL APPEALS JUDGE. P.O. BOX 357 SAGINAW , AL 35137,1000
Cunningham for Judge,1000
Committee to elect Robert L. Mardis III,1000
Committee to Elect Donna Smalley - P.O. Box 2250, Jasper, AL 35502,1000
ACLU of Alabama,1000
 Middleton Consulting Firm LLC,1000
Beth Chapman,999
Hulu,998
Madison County Democratic Women,989
CRTV,946
Elizabeth for MA,941
Sinclair Broadcast Group,925
 Allied Progress Action,921
Marcie Foster- Cherokee County Commissioner District #3,919
MJ for Texas,916
the National Network of Abortion Funds,913
The People for Cary Baldwin,911
Jeff Merkley for Oregon,910
The Hill,908
Concerned Veterans for America,880
Human Rights Campaign,871
WeThePeopleHolsters ,858
Boredom Therapy LLC,849
Chad Benson,839
Nuclear Energy Institute,836
Mi Familia Vota,836
ASMDSS, Inc,822
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,813
End Party Politics, LLC,812
RNY Initiative,804
The Brookings Institution,798
Gillibrand for Senate,778
Hoover Institution,777
Penzeys,765
Reform Austin, Inc. ,756
Welcome.us,755
Hill Reporter,749
Tony for Wisconsin. Connie Hutchison, Treasurer.,745
2atees1,742
End Citizens United,732
Save The Storks,723
Cathy for Congress,721
National Committee to Preserve Social Security & Medicare,689
Demand Justice,651
Heidi for North Dakota,647
Conservation International,642
the White Coat Waste Project, Inc,638
MoveOn.org Civic Action.,611
Texans for Natural Gas,599
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,567
Proud Americans Supply,566
Oral Health America,562
Science for Humans and Freedom Institute,557
Friends of the Earth,548
Good Media Group,543
Congressional Black Caucus PAC,542
NRA,530
NARAL Pro-Choice America,513
Joe Cunningham for Congress,505
Benepath, Inc.,503
NRDC Action Fund,502
The Democratic Coalition,500
Marc Vann for State Representative,493
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,489
Ocean Conservancy,484
National Savings Programs,480
NRDC,476
Battleraddle,468
Diversity Incorporated ,465
Okaloosa County Supervisor of Elections,457
Right Wing News ,454
AIPAC,448
We Are The Mighty,446
EMILY's List,442
TYT Network,440
Center for Biological Diversity,438
Environmental Defense Fund,437
Finance Watch Dogs,430
Conservative Tribune,409
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,407
Military Officers Association of America (MOAA),403
Greater Half,391
Painter Minnesota,390
Media Research Center,386
Ammar Campa-Najjar for Congress.,377
In Search of Liberty,376
Cargill,376
Animal Matters,363
100 Percent Deplorables,360
The Christian Broadcasting Network, Inc.,350
The LIBRE Initiative,349
the Democratic National Committee,347
Institute for Southern Studies,339
Summer T-Shirts,337
Great America Alliance,337
Giffords PAC.,333
Coastal Tees,331
DC Doris for Congress Committee Vicky Ganacias Borja, Treasurer P.O. Box 3060, Hagåtña, Guam 96932,330
Paid by Dave Piech, Republican for Santa Rosa County Commissioner, District 4. ,328
Cris Dosev for Congress,321
Random House,318
TJAL Enterprises, Inc.,310
Friends of Bernie Sanders,310
Naturally Fit Inc,309
Leadership Institute,308
Becket Law,307
Zya, Inc. ,301
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,301
Human Coalition,299
Zen Brands International, LLC,297
Rooted in Rights,297
Build With Strength,295
AutoWise,293
I Love My Freedom,290
Abortion On Our Own Terms,289
St. Martin's Press,282
Armed American Supply,282
Parks Project,281
Lake Ray for Tax Collector,279
International Rescue Committee,278
True Conservative,276
America's Navy,269
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,268
American Center for Law and Justice,268
Middle East Forum,266
Kanew For Congress,266
Paramount Network,265
Shout Your Abortion,264
BOPPDUWOPP A NON POLITICAL ENTITY,263
Save the Children Action Network ,261
Wind Energy Foundation,258
No Kid Hungry,256
Drew Buchanan for Pensacola Mayor ,254
Aftab for Ohio,251
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,249
TheBlaze,247
The Dude's Designs,247
Sandy Hook Promise,247
Patriot Depot,243
China-US Focus,243
Charlie Bailey for Georgia,243
The New MAGA,240
You Know Who You Are,238
American Patriot Daily News Network,236
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,233
Greenpeace USA,229
U.S. Term Limits,226
State Run Films,226
Goods Unite Us, Inc.,226
News For Democracy,224
Priorities USA Action and Senate Majority PAC. Not authorized by any candidate or candidate's committee.,220
Union of Concerned Scientists,218
NRA Women,217
NAACP Legal Defense Fund,215
Donald J. Trump - online store for campaign gear,213
Oxfam America,212
Americans for Farmers and Families,210
Facts and Logic about the Middle East (FLAME),208
Beyond the Choir,208
Restoration PAC,207
UltraViolet,206
Giving Brush LLC,203
National Committee for a Human Life Amendment,199
New American Media Group LLC,197
Stand Up North Florida,195
The Whiskey Patriots,193
Americans for Tax Fairness,193
The Charlie Daniels Band,192
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,192
Planned Parenthood Action Fund.,192
T-Mobile,191
Nunyo Demasio,191
Foundation for Economic Education,189
Washington Speakers Bureau,187
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,186
Bredesen for Senate,185
EFB Advocacy,184
Kialo,179
OZY Media,177
PoliticusUSA LLC,176
AGV MEDIA,176
Digital Product Showcase,175
Tax March,174
Energy Nation,173
Emerging American Majorities,171
Zephyr for NY,170
Secure America Now,166
PushBlack Now,164
OAF Nation, Inc,164
National Women's Health Network ,163
Let Africa Live,160
Defenders of Wildlife,159
Medals of America,158
Distractify,158
theSkimm,155
Smart Customer,155
National Security Action,154
John Wolfe for U.S. Senate,153
Tom Del Otero (Kasie's Dad),152
UltimateStraw,151
STARZ Shows,151
SFT2 Tactical Supply,151
Pigeon Media USA,151
Alan McMillan for Escambia County Commissioner - District 2,150
Sutton for South Dakota,149
Nine Line Apparel,147
KWTV News 9,147
30x30, FF&L,147
the Holland Children's Movement,146
Beachside Media, Inc.,146
John Cox for Governor 2018,144
 LeftAction,142
Warrior 12,139
LeadingResponse,139
Andrew Gillum, Democrat, for Governor,138
Norm Novitsky,137
Fog Horn Reports,137
Topic,136
Cheddar,135
CARE,135
Stand Up America,134
FCTRY,133
Friends of James Skoufis,132
Super LTD,131
Brandon Ogles for State Representative,131
Alpha Elite,131
Serve America Movement,128
Dianna Ploss,128
James Thompson for Kansas,127
Baria for Mississippi,127
the Environmental Working Group,126
The Committee to Defend The President,126
National Park Foundation,126
The Innocence Project,124
Carbonated TV,122
Airline Passengers for Justice,121
Rev. Dr. Chuck Currie,117
Geoff Duncan for Georgia,116
ArtProfiler, Austin's Premiere Online Cultural Magazine,116
Adam Schiff for Congress,116
Good Jobs Nation,115
Association for Accessible Medicines,113
Main Street Investors Coalition,112
No Labels. Not Authorized by Any Candidate or Candidate Committee.,108
Rutherford County Democratic Party, Alreen Kohn, Treasurer,107
Mike Hill Republican for Florida State House, District 1,107
Organizing for Action,104
Florida Daily,103
Bill Nelson for U.S. Senate,101
Friends of Chris McDaniel,99
Your Trump Shop,97
McCaskill for Missouri,97
Lemony Tree,97
International Brotherhood of Teamsters,97
Young America's Foundation,95
Yale Environment 360,94
The Nib,94
Jetties Bracelets,92
The Fighting Forces,91
Tee Shirt Palace,90
Peter Gaddy for Pensacola City Council District 4,90
Planet Love Life,89
Clergy for a New Drug Policy,89
Friends of Chris Carr,88
UPROXX,87
Jeff Brandes, Republican, for State Senate,87
Blue Fox Entertainment,86
Serve America PAC,84
Must Read Alaska, with current events of interest to Alaskans,84
The People's Trumpet LLC,83
ReThink Energy Florida,82
Democratic Action.,82
O’Connor for Congress,81
IVN News,81
Congressional Leadership Fund,81
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,81
WNYC,80
The Federal Practice Group,79
Crenshaw for Congress,78
Sal Peer,77
Deb Fischer for U.S. Senate,77
World Wildlife Fund,76
Strasson Group,76
Free to be Kids,76
Dakota Meyer,76
David Richardson for Congress,75
Scott D. Welch,73
The Christian Left,72
Kris Coffield,72
PETA,69
Joda for TN-30,69
CTE John C. Cahalan, 500 Griswold St., Ste. 2450, Detroit, MI 48236,69
ATTN:,69
XSTRAW,68
House of Patriots,68
Environmental Voter Project,68
Ohio AFL CIO,67
Florida Jobs PAC,66
Tristan Cruz,64
Mike Siegel for Congress,64
Abdul El-Sayed for Michigan,64
Tony for Wisconsin. ,63
Sarasota Citizen Martin Hyde,63
Friends of Andy Manar,63
Blue Wave Voters,62
 Great Lakes Education Project,62
Kanew for Congress,61
Forward Thinking Media, LLC,61
Duncan D. Hunter for Congress,61
Donnelly for Indiana,57
Tiffany Willis,56
Philadelphians for a Fair Future,56
OD Action,56
Bill & Melinda Gates Foundation,56
Tina Smith for Minnesota,55
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.,54
SEIU Healthcare Illinois & Indiana,54
Robert Landt for Judge,54
Raintree Media Group,54
Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer,53
Glisson for Congress,52
ConocoPhillips Company,52
Be a Hero PAC,52
People's World,51
Sevigny for Congress,50
National Partnership for Women & Families,50
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,49
Hello Resistance,49
Free Bella Swim,49
Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2,48
Oklahomans Against SQ 793,48
Sam Parker,47
Citizens for Martin T. Tully,47
the Institute for New Economic Thinking,46
Political advertisement paid for and approved by the Committee to Elect Adam Pollack Circuit Judge, Group 24,46
Human Rights Watch,46
Rebuild Maine,45
Plan International USA,45
One Earth,45
DC Statesman,45
Rosen for Nevada,44
Presidential Collectibles LLC,44
and approved by Bobby Hopkins, Republican,43
Stanley Charles Kimer,43
OuterGoods LLC,42
National Geographic Society,42
Indivisible Action,42
Christopher Hale for Tennessee,41
Important, Not Important LLC,40
Dodson for Senate – Wyoming First,40
Dail Taylor,40
American Tort Reform Association,40
William E. Hammer,39
Friends of Tanya Hasbrouck for Chancery Court Judge,39
Friends of Derek Young for Pierce County Council,39
Working Families Party,38
Women United Now,38
Winfield For Congress,38
Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518,38
Progress Virginia,38
Michigan Leadership Committee. Not authorized by any candidate.,38
Lislegard for House 6B Committee,38
Courage Campaign,38
Citizens to Elect Doug Schultze for Sheriff of Johnson County Wyoming,38
Chris van Avery,38
the Committee to Elect Dave Ellis, Non-Partisan, 6th Circuit Court Judge, Group 4,37
North Carolina Republican Party,37
Movement Advancement Project,37
Nolan Wentz for Sheriff,36
Friends of Mark Gordon,36
Faso for Congress,36
NextTribe ,35
Friends for Justin Jones,35
Association of Young Americans,35
Politicon,34
Nissi Worldwide,34
the American Cancer Society Cancer Action Network.,33
The Tilted Glass,33
Shabnam For Wisconsin,33
RedBlueTracker,33
OpsLens. ,33
Movement Voter Project,33
Liberty Nation,33
Gavin Newsom for Governor,33
Committee to Elect Scott Cepicky- Treasurer Beverly Simmons,33
Soi Dog Foundation,32
Maloney for New York,32
Elect Aaron Lieberman,32
Purpose Campaigns,31
Nathan Berning,31
Matt Hall for Mayor 2018,31
Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624,31
Florida Republican Senatorial Campaign Committee,31
Civil Liberties Defense Center,31
the National Center for Public Policy Research,30
Rocky 101 LLC,30
the Committee to Elect Ayanna Pressley,29
Tea Party Majority Fund,29
South Florida's Future independently of any candidate.,29
Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,29
O'Rourke for Congress,29
Levenson for Congress,29
Committee to Elect Matt Doell - Keith Kinder, Treasurer,29
Brian McClendon for Kansas Committee,29
Americans for Prosperity Foundation,29
The Republican Party of Nelson County, Kentucky,28
Kilili for Congress,28
Kennis Thompson ,28
Growth Radius,28
GALEO,28
David Koch,28
2A4LIFELLC,28
The Libertee Company,27
The Independence Fund,27
Mitchell Hall and Sean Callahan,27
Linda Rawles,27
Justice Equality And Economics ,27
Empowering Wellness. Not affiliated with any candidate or candidate's committee.,27
Donielle M. Lovelle For State Representative,27
Committee to Elect Darryl Morin,27
Candace Donnelly, Common Sense Civics and Citizenship,27
the Foundation for Independent Voter Education,26
The Right Way,26
Rebuild Maine PAC,26
Grassroots For You,26
GOP Making Sense,26
Cumberland University,26
CLARKE TUCKER FOR CONGRESS,26
the National League of Cities,25
Team Morris for Morris County Freeholder,25
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,25
Nate McMurray for Congress,25
Marathon Productions, LLC,25
MAGA and Trump Supporters,25
