Tom Wolf,"[500970, 1304835]"
Josh Harder,"[0, 21]"
Jennifer Benson for NC House,"[0, 20]"
AFGE,"[0, 20]"
Vote for Madhavi,"[0, 13]"
Mayor Matt Hall,"[0, 9]"
Andy Kim for Congress,"[0, 9]"
Linda Bennett,"[0, 8]"
Ginger Garner for NC Senate,"[0, 8]"
Adam Milasincic for Texas State Representative,"[0, 8]"
David Thomas for County Auditor,"[0, 7]"
"Re-Elect Jim Houser, Linn County Supervisor","[0, 6]"
Healthy Montana Campaign,"[0, 6]"
FreedomWorks,"[0, 6]"
Alliance for a Better Minnesota,"[0, 6]"
Buffy Wicks,"[0, 5]"
Bird + Stone,"[0, 4]"
Senator Paul Feeney,"[0, 3]"
Madison County Republicans,"[0, 3]"
Scott Dianda,"[0, 2]"
Representative Nick Mattiello,"[0, 2]"
