Reigenborn4Sheriff,"[10000, 58981]"
NumbersUSA,"[10000, 51997]"
"State Representative Shane Sandridge, House District 14","[10000, 50998]"
Elect Jonathan Ambler HD 46,"[10000, 50998]"
Save The Colorado,"[10000, 49999]"
Lisa Culpepper For Adams County Treasurer 2018,"[10000, 49999]"
Hispanic Access Foundation,"[10000, 49999]"
Handyman Hub,"[10000, 49999]"
Food & Water Watch - Colorado,"[10000, 49999]"
FinerPoints Accounting & Divorce Mediation,"[10000, 49999]"
Farmers Alliance for Integrated Resources,"[10000, 49999]"
EnergyTomorrow,"[10000, 49999]"
El Paso County Democratic Party,"[10000, 49999]"
Denver Area Labor Federation,"[10000, 49999]"
Colorado Rural Energy Action Council,"[10000, 49999]"
Colorado Liberty PAC,"[10000, 49999]"
Colorado First Time Home Buyer,"[10000, 49999]"
Colorado Civic Education,"[10000, 49999]"
Center For American Progress Action Fund,"[10000, 49999]"
Backcountry Hunters & Anglers,"[10000, 49999]"
Axios,"[10000, 49999]"
Thomas Weldon for Jeffco Coroner,"[10000, 46982]"
Save Lakewood,"[10000, 20997]"
San Miguel Power Association,"[9999, 49993]"
Boredom Therapy,"[9927, 21643]"
Kerry Donovan,"[9900, 36490]"
15 for DIA,"[9893, 57299]"
PragerU,"[9322, 22022]"
Center for Biological Diversity,"[9112, 21680]"
Save Cheyenne,"[9000, 32992]"
Rothe for Highlands Ranch,"[9000, 31993]"
Matt Johnston for Brighton,"[9000, 30994]"
Friends of the Earth U.S.,"[8795, 23899]"
Tynan's Pre-Owned Super Store,"[8692, 43459]"
Fight For Reform,"[8592, 17183]"
Citizens to Elect Jerry DiTullio - Jefferson County Treasurer,"[8000, 55976]"
"Rebecca Cranston for Colorado, Senate District 15","[8000, 26994]"
Vicki Pyne for HD27,"[8000, 25995]"
The Voter Participation Center,"[7860, 200485]"
Bernie Sanders,"[7805, 22326]"
Turning Point USA,"[7396, 16441]"
Airport Workers United,"[7379, 21893]"
Life is Better After 50,"[7157, 14314]"
Family Policy Alliance,"[7037, 20200]"
Gell.com,"[7014, 37140]"
Michael Thuener for House District 50,"[7000, 43984]"
"Re-elect Irene Josey, Larimer County Treasurer","[7000, 37990]"
Nick Thomas,"[7000, 37990]"
Adams for Emma,"[7000, 37990]"
Politicon,"[6894, 20754]"
Montrose County,"[6812, 34061]"
American Liver Foundation,"[6465, 18928]"
Be A Hero,"[6459, 18976]"
Democrats,"[6433, 19924]"
Dissent Pins,"[6357, 13121]"
VoteTogether,"[6263, 19402]"
United States Constitution,"[6128, 15625]"
YES 4 Elected Mayor,"[6000, 59964]"
Yes 2 Air,"[6000, 44979]"
Zach Swearingen,"[6000, 33990]"
Chris Kolker for House District 38,"[6000, 31849]"
"Hugh McKean, Colorado House of Representatives - House District 51","[6000, 29994]"
Vote No on Doug Lamborn,"[6000, 17995]"
Re-Elect Garrett Wiggins for Routt County Sheriff,"[6000, 17995]"
Tobacco Free CO,"[6000, 15997]"
Matt Lewis for Sheriff,"[6000, 15997]"
Barrel Brothers Liquor,"[6000, 14998]"
Win The Fourth Colorado,"[5942, 31694]"
Make America Great Again - Republican,"[5676, 11482]"
I Am An Immigrant,"[5657, 12766]"
HILL TV,"[5560, 15292]"
NRATV,"[5349, 13184]"
Instagram,"[5321, 10642]"
Concealed Online,"[5114, 19939]"
Ben Shapiro,"[5037, 14090]"
Libertarian Party of Boulder County,"[5000, 31988]"
Kent Jarnig,"[5000, 31988]"
Simone Aiken For House District 44,"[5000, 27992]"
The Colorado Trust,"[5000, 24995]"
Gradisar for Mayor,"[5000, 24995]"
Tammy Story for Colorado,"[5000, 11997]"
jeff4parker,"[5000, 10998]"
East Boulder County United,"[5000, 10998]"
The REAL Kanda Calef,"[5000, 9999]"
The Longmont Chorale,"[5000, 9999]"
Terry Gillette for Saguache County Commissioner,"[5000, 9999]"
Merlin Klotz,"[5000, 9999]"
Matthew Morris Salon & Skincare,"[5000, 9999]"
"Kaufman & Kaufman, LLC.","[5000, 9999]"
Ignite National,"[5000, 9999]"
HOSTE,"[5000, 9999]"
Colorado Young Democrats,"[5000, 9999]"
Charles Messick for Senate,"[5000, 9999]"
Bridge Project,"[5000, 9999]"
"Boal Law Firm, P.C.","[5000, 9999]"
Alfalfa's Market,"[5000, 9999]"
The Young Turks,"[4939, 14457]"
JoyAnn Ruscha for RTD District B,"[4923, 28504]"
People United for Privacy,"[4875, 11344]"
Colorado Rural Electric Association,"[4835, 29166]"
Alliance Defending Freedom,"[4822, 20692]"
Union of Concerned Scientists,"[4581, 9164]"
NRA - National Rifle Association of America,"[4562, 12474]"
Circa,"[4488, 16483]"
UnitedHealthcare,"[4417, 12194]"
Republicans for the Rule of Law,"[4270, 24855]"
Kamala Harris,"[4258, 31016]"
The Y,"[4120, 8240]"
First Quote Health,"[4109, 10303]"
National Republican Congressional Committee,"[4083, 19400]"
Swing Left,"[4016, 17206]"
Grady Nouis For CO State Rep.,"[4000, 28987]"
HD 21 Liz Rosenbaum 2018,"[4000, 25990]"
Re-Elect Paul D. Solano For RTD District K,"[4000, 23992]"
Bri For Colorado,"[4000, 23992]"
Peg Perl for Denver Clerk,"[4000, 22993]"
Charles Fletcher for Castle Rock Mayor,"[4000, 22993]"
Aurora Public Schools At Risk,"[4000, 22993]"
Dr. Tony Wolusky for CU Regent,"[4000, 19996]"
Heidi Heitkamp,"[3996, 8374]"
National Domestic Workers Alliance,"[3784, 10191]"
FCTRY,"[3717, 9292]"
