,1492249
Ryan Hampton,135
Reform Austin, Inc. ,133
Delivered Digital Marketing,133
National Farmers Union,131
Rich Shumate,130
Avant Voce,130
LGBTQ Victory Fund ,128
Abdul El-Sayed for Michigan,128
Dr. Bronner's,126
Committee to Elect Darryl Morin,126
Marc Vann for State Representative,124
Friends of Shelly Hutchinson,123
Foundation for Economic Education,122
Thrasher Coffee,121
Is It Funny Or Offensive?,120
the Environmental Working Group,118
CARE,117
Stand Up North Florida,116
2A4LIFE LLC,116
GatorPAC,113
AutoWise,113
Teami Blends,111
Civil Liberties Defense Center,111
Alexandria Ocasio-Cortez 2018,111
Defenders of Wildlife,109
IVN News,107
the Democratic Governors Association.,102
2atees1,102
Omar Navarro for Congress,101
National Partnership for Women & Families,101
Medical Advocacy & Outreach (MAO). Questions? Contact Thomas Stephens, MAO Media Relations.,101
Kyle M. Woodman,101
Good Media Group,101
the White Coat Waste Project, Inc,100
Mi Familia Vota,100
Tom Del Otero (Kasie's Dad),98
Committee to Elect Lisa Stone Barnes,98
Willie Gray for AL House 102,96
Tony for Wisconsin. Connie Hutchison, Treasurer.,96
Shout Your Abortion,93
McCaskill for Missouri,93
 LeftAction,93
Empowering Wellness. Not affiliated with any candidate or candidate's committee.,91
Americans for Affordable Birth Control,89
Vericool Inc,88
The Dude's Designs,88
No Labels. Not Authorized by Any Candidate or Candidate Committee.,87
VICELAND,86
Villaraigosa for Governor 2018,85
Giffords PAC.,85
by GroundUp. Not authorized by any campaign, committee, or PAC.,84
World Food Program USA,84
USA Homeowner Help,84
Islam and Religious Freedom,84
Care2,84
Ammar Campa-Najjar for Congress.,84
the Committee to Elect Elisabeth Espinosa, and the candidate, Non-Partisan, for Miami-Dade Circuit Court Judge (11th Judicial Circuit), Group 8,83
National Rifle Association of America,83
Earthjustice,83
OpsLens. ,82
Crenshaw for Congress,82
Americans for Farmers and Families,82
the Committee to Elect Ayanna Pressley,81
Faith Johnson for DA,81
Purpose,79
Mic,79
Dayna Steele Campaign,79
National Wildlife Federation,77
MJ for Texas,75
Harley Rouda for Congress,75
The Medical Imaging & Technology Alliance,74
Planet Love Life,73
Color Of Change,73
Remezcla,72
Foundation for Liberty & American Greatness (FLAG),72
THE COMMITTEE TO RE-ELECT JUDGE MIKE TAYLOR AND APPROVED BY THE CANDIDATE,71
Joann,71
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,70
The Leadership Conference on Civil and Human Rights ,70
Tenth Amendment Center,70
FCTRY,70
Emerging American Majorities,70
Premiere Marketing,69
Linda Rawles,69
Haden For State Representative, Mike Boulware Treasurer.,69
America's Navy,68
House of Patriots,67
Janet Garrett for Congress,66
DC Statesman,65
Proud American Supply,63
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,63
Wyoming Wildlife Federation,62
Best Friends Animal Society,62
Baria for Mississippi,62
Pigeon Media USA,61
Committee to Elect Rob Davidson,61
Bloomberg Philanthropies,60
Ranker,59
Jason Rittereiser for Congress,58
Equality Federation,58
Becket Law,58
Citizens for Jesse White,57
Yale Program on Climate Change Communication,55
Airline Passengers for Justice,54
UnidosUS,53
Job Creators Network,53
Lark Lo,52
Prompt Media,51
OuterGoods LLC,51
Opportunity First,51
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,51
Bird + Stone ,51
The Religious Action Center of Reform Judaism ,50
Giffords, a section 501(c)(4) issue advocacy organization, and Giffords PAC, a federal political committee. Not authorized by any candidate or candidate's committee.,50
Outrider Foundation,49
Colorado Values Project,48
