Chris Pace for Clark County Judge Executive,"[5000, 28991]"
Mayor Grayson Vandegrift,"[5000, 25994]"
Ron Devrick for Commissioner,"[5000, 24995]"
Elizabeth M. Belcher For State Representative Ky.14th District,"[5000, 11936]"
Teacher Retirement Legal Fund - TRELF,"[5000, 10998]"
Seth Hall for Congress,"[5000, 10998]"
Judge Goodwine,"[5000, 10998]"
Elect Jeremy Crick for Sheriff,"[5000, 10998]"
South Frankfort Neighborhood Association (SFNA),"[5000, 9999]"
Shelby County Kentuckians for the Commonwealth - KFTC,"[5000, 9999]"
Kentucky Bankers Association,"[5000, 9999]"
Jarrad T. Smith for Pike County Commissioner District 3,"[5000, 9999]"
Global Citizen,"[5000, 9999]"
Free the People,"[5000, 9999]"
FileBankruptcyHelp.com,"[5000, 9999]"
Betty Black for Nicholasville City Commissioner,"[5000, 9999]"
Arcomplex,"[5000, 9999]"
Andrew Powell for Henderson County PVA,"[5000, 9999]"
Boston Hensley for Hart County Sheriff 2018,"[4992, 27950]"
Paul Walker for Congress,"[4985, 32907]"
Bridge Project,"[4973, 9945]"
Lower My Bills,"[4952, 12465]"
Deborah Taylor Duncan for Daviess County Jailer,"[4945, 9890]"
ACLU,"[4831, 16502]"
Ernst for Oldham,"[4806, 9610]"
The Matriots,"[4805, 13691]"
Proud Americans Supply Gear,"[4790, 11976]"
Finance Watchdogs,"[4644, 10870]"
Erase The Hate,"[4607, 10116]"
James Michael Green for District Court Judge,"[4578, 9156]"
Boredom Therapy,"[4518, 9780]"
Emily Maria Digenis for Judge,"[4510, 10017]"
Point Source Youth,"[4507, 9014]"
Turning Point USA,"[4493, 12318]"
Young America's Foundation,"[4430, 12654]"
Jay Sekulow,"[4328, 10819]"
PrintedKicks,"[4224, 9920]"
China US Focus,"[4182, 10454]"
Family First K9,"[4103, 8204]"
First Quote Health,"[4100, 9231]"
Van Herndon For Stewart County Mayor,"[4038, 17861]"
"William Downey for Magistrate, Woodford County","[4000, 26989]"
Re-Elect Judge Nick Burlew,"[4000, 22993]"
Chris Abend for 2nd District Magistrate,"[4000, 21994]"
Mack for Muhlenberg,"[4000, 20995]"
Kenny Brown,"[4000, 20995]"
Hannan for Kentucky,"[4000, 20995]"
Elect Steven Elder for Mayor of Mayfield,"[4000, 20995]"
Derek R. Durbin for Circuit Judge,"[4000, 20851]"
Bob Schrage for KY State Representative - 67th District,"[4000, 20688]"
Connie Grubbs for County Commissioner,"[4000, 20606]"
Vote Tony Thompson for Bullitt County Judge Executive,"[3992, 20955]"
Savannah Maddox for State Representative-61st District,"[3788, 18933]"
Everytown for Gun Safety,"[3777, 9900]"
Serve America,"[3761, 9445]"
Civiqs,"[3707, 9760]"
Marsha Blackburn,"[3631, 8403]"
MomsRising.org,"[3545, 8917]"
United Association,"[3541, 7081]"
Unofficial: Unofficial: Radcliff KY Information,"[3507, 14011]"
Kamala Harris,"[3457, 15410]"
MoveOn,"[3435, 28226]"
Charles Schwab,"[3432, 6865]"
Our City News  - By Vice-Mayor Mike Callis,"[3419, 7557]"
Conservatives Against Media Manipulation,"[3275, 14336]"
Jason Mccraw for Mayor,"[3265, 22022]"
NRDC Action Fund,"[3256, 8282]"
Representative Rick Rand,"[3177, 16718]"
45 Hats,"[3147, 23849]"
ASMDSS,"[3142, 7680]"
Dennis Potvin,"[3109, 8167]"
American History TV,"[3091, 6183]"
George Barnett Republican for Magistrate,"[3000, 31978]"
Tyler Johnson for Richmond City Commissioner,"[3000, 21990]"
"Dakota ""Kota"" Young for Mayor","[3000, 19992]"
Carolyn Dupont for KY Senate,"[3000, 19992]"
Greg Pohlgeers for Fort Mitchell City Council,"[3000, 18993]"
Paula Clemons Combs for KY State Senate,"[3000, 17994]"
Kelly Smith Greene for Mayor,"[3000, 17994]"
Chuck Knowles,"[3000, 16995]"
Bourbon PVA Nathan Maddocks,"[3000, 16995]"
SPOT Kentucky - Save our Pets from Onerous Taxes,"[3000, 15996]"
Re-Elect Sheriff Peanuts Gaines,"[3000, 15996]"
Franklin County Kentucky Democratic Party,"[3000, 15996]"
"Elect Bernard ""Bernie"" Brown for Mayor of Shepherdsville","[3000, 15996]"
Woods for Kentucky,"[3000, 14997]"
Senator Dorsey Ridley,"[3000, 14997]"
Polyniak for Ag Commissioner,"[3000, 14997]"
Matt Deneen - E-town City Council,"[3000, 14997]"
Tom Chamberlain for Shepherdsville Mayor,"[2994, 17966]"
Jason Darnall for County Attorney,"[2992, 15957]"
Jesse Parks for State Representative,"[2918, 17528]"
Chad Benson Show,"[2918, 6566]"
ExxonMobil,"[2902, 14456]"
National Democratic Redistricting Committee,"[2818, 9891]"
"Daniel Bell, Mayor of Taylor Mill, Ky.","[2773, 29848]"
Winning For Women,"[2759, 7482]"
Alex White for Kentucky,"[2751, 16587]"
Alliance Defending Freedom,"[2712, 8466]"
Liz for Indiana,"[2679, 13388]"
Human Coalition,"[2655, 6588]"
Left Action,"[2629, 7168]"
Breaking Big,"[2611, 6054]"
Protect AR Families,"[2547, 5093]"
End Citizens United,"[2534, 8169]"
Planned Parenthood Advocates of Indiana and Kentucky,"[2404, 12016]"
Innocence Project,"[2352, 6128]"
Kevin McCarthy,"[2340, 6980]"
Indiana Secretary of State Connie Lawson,"[2338, 4676]"
Chris Shelton for County Council 2018,"[2325, 11624]"
NRATV,"[2298, 4646]"
Catholic Relief Services,"[2289, 4597]"
Andrew Janz,"[2286, 4891]"
Citizens Against Computerized Justice,"[2218, 11090]"
American AF,"[2214, 9076]"
HILL TV,"[2199, 8604]"
MJ for Texas,"[2183, 4953]"
Great America PAC,"[2156, 5512]"
LifeDaily,"[2143, 8030]"
Ben Swann,"[2135, 4270]"
President Donald Trump Fan Club,"[2120, 4276]"
Steve Webb For Senate,"[2093, 10464]"
Clarksville Safe and Strong,"[2086, 7496]"
FEE,"[2054, 5091]"
Darrell Auxier for Judge,"[2020, 12779]"
Michael Case for Elkton City Council,"[2000, 26981]"
The Republican Party of Nelson County (Kentucky),"[2000, 21961]"
Jennifer Reynolds For 11th,"[2000, 19857]"
Jeffers for Sheriff,"[2000, 15992]"
Richard Becker,"[2000, 13994]"
Ramsey Flynn for Winchester City Commissioner,"[2000, 12995]"
"Brian ""Tiger"" Gann for State Representative","[2000, 12995]"
Daviess County Democratic Party,"[2000, 12980]"
Stephanie Compton for Kentucky Senate,"[2000, 11996]"
Joe Ulloa For Mayor of Independence Kentucky,"[2000, 11996]"
CivicLex,"[2000, 11996]"
Karen Faulkner for District Court Judge,"[2000, 11930]"
The Bottom Line: Kentucky Political News,"[2000, 10997]"
Terry Owens 2018,"[2000, 10997]"
Steven D. Foster,"[2000, 10997]"
Shelley Hurles for Walton Verona School Board of Education,"[2000, 10997]"
Mark McCoy for Owensboro City Commission,"[2000, 10997]"
Elect RICK EMBRY Leitchfield Mayor,"[2000, 10997]"
"Chad Tyree, A Butler Co Magistrate","[2000, 10997]"
Adam Townsend,"[2000, 10997]"
"Rita Douglas for Boyle County, Ky. Jailer","[2000, 9998]"
Patsy Whitehead for Hardin County Magistrate District 3,"[2000, 9998]"
