Andy Voyles for Williamson County School Board - Brian Cournoyer, Treasurer,8000
Angie Holt Groves for Robertson County Clerk, Janet McClain, Treasurer,7976
4Ocean, LLC,7907
The Hill,7898
Friends of Regina Newman, P.O. Box 40025, Memphis, TN 38174,7885
Swing Left. Not authorized by any candidate or candidate's committee.,7832
Fair Courts Now,7477
Committee to Elect Rick Head,7470
Cumberland University,7392
The Democratic Coalition,7335
Logically Illiberal,7223
Comedy Central,7169
Rustic Edge Marketing,7105
The Committee to Defend The President,7089
Circa,7003
The Committee to Elect Sanjeev Memula, Julie Byrd Ashworth, Treasurer,7000
Kaitlin Clark,7000
Jimmy Haley for Warren County Executive,7000
Friends of Sheri Weiner,7000
Friends of Nick Forrester; Jamey Davis, Treasurer ,7000
Friends of Kelly Northcutt, Veronica Bosnak, Treasurer,7000
Committee to Re-Elect Eric Welch,7000
Olsen for Congress,6985
Boyington for Democratic Progress,6890
HeloGreen,6565
UPROXX,6446
Turning Point USA,6372
Paid for by Tim Lingerfelt, Brian Delp Treasurer. ,6344
#VoteTogether,6197
the Committee to Elect Stephen Shopher, Darry Marshall, Treasurer,6000
The Candidate Tonya Perry,6000
Settles for Tennessee,6000
Nashville Instant Runoff Voting,6000
Liftable Engagement Services,6000
Friends of John Harber,6000
Eric Keller, Chair, Anderson County Democratic Party,6000
Citizens to Elect Mike Sparks,6000
Candidate,6000
Campaign to elect Brad Fiscus, Susan Kimbro - Treasurer,6000
Brian Scott,6000
Aaron Thomas / Brianna Thomas, Treasurer,6000
Brent Moody for State Representative, Austin McMullin, Treasurer,5971
Paramount Network,5956
Hillsdale College,5900
Kamala Harris for Senate,5857
the Committee to Elect Margot for Mayor,5816
Consumer Alert Services,5803
D'Andre Anderson for School Board,5666
Tennessee Republican Assembly,5487
NumbersUSA,5122
by the committee to elect David Livingston Haywood County Mayor, Kathleen Livingston Treasurer.,5000
Women for Tennessee's Future,5000
The Committee to Elect LaVern Vivio to Congress, Ginger Rogers Treasurer ,5000
The Auto Alliance,5000
Patsy Garey Johnson for State Executive Committee,5000
Mickie L. Banyas,5000
Larsen Jay for Knox County Commission,5000
Kevin Davis,5000
Committee to Elect Dan Henderson, Derek Shampine Treasurer,5000
Carol M. Swain,5000
Campaign to Re-elect Johnny Reed,   Kathy Reed, Treasurer,5000
Friends of Frankie Floied,4999
UnitedHealthcare,4969
Dinesh D'Souza,4941
DCCC,4790
Human Rights Campaign,4763
TJ Barker for Sheriff,4584
Committee to Re-Elect Billy Orgel,4530
Daily Wire,4479
the Committee to Elect Michael Henry,4472
Committee to elect Gary Green, II,4345
Conservatives Against Media Manipulation,4061
Shaun Alexander,4000
Scott Conger,4000
Neal Appelbaum, Treasurer,4000
Nashville Tea Party,4000
Kristen Grimm for TN Senate, Susan Nance, Treasurer,4000
Hutton for Loudon City Council,4000
Bryan Terry For State House,4000
Lesley Couch, Candidate for County Commissioner, D11.  Lesley Couch, Treasurer,3961
The Western Journal,3772
CRTV,3771
Friends of Billy Orgel,3754
The Leadership Conference on Civil and Human Rights ,3609
Let America Vote,3534
America's Navy,3360
CHC BOLD PAC,3152
 LeftAction,3107
Jeff Merkley for Oregon,3066
