Kentucky Family Values,"[0, 167]"
Crime Survivors for Safety and Justice,"[0, 149]"
Pfizer,"[0, 128]"
CARE,"[0, 127]"
Resist Trump's agenda,"[0, 124]"
Claire McCaskill,"[0, 122]"
Save the Children Action Network,"[0, 119]"
Music for Resistance and Revolution,"[0, 118]"
Askov Finlayson,"[0, 116]"
American Jewish World Service - AJWS,"[0, 113]"
Rainforest Action Network,"[0, 103]"
Votesane.com,"[0, 91]"
Janet Garrett for Congress,"[0, 91]"
Guardian Labs,"[0, 85]"
Support The 2nd Amendment,"[0, 84]"
Progressive Takeover,"[0, 75]"
Ed Markey,"[0, 75]"
NRA - National Rifle Association of America,"[0, 73]"
Fipple,"[0, 73]"
Portside,"[0, 70]"
"Safety Advisors for Educational Campuses, LLC","[0, 69]"
The American Journal of Managed Care,"[0, 67]"
Conservative Gear,"[0, 67]"
Chris Murphy,"[0, 67]"
45th President Donald J. Trump,"[0, 66]"
National Network of Abortion Funds,"[0, 65]"
Parks Project,"[0, 63]"
Protectors of The Wood Book Series,"[0, 62]"
Kialo,"[0, 61]"
Next Level Digital,"[0, 58]"
Rick Green,"[0, 56]"
The Conservative Choice: President Donald Trump,"[0, 51]"
New Mexico For Equine Rights & Open Government,"[0, 49]"
Indiana Republican Party,"[0, 45]"
Definition.org,"[0, 43]"
Dave Thomas Foundation for Adoption,"[0, 42]"
Build With Strength,"[0, 41]"
CREDO Mobile,"[0, 40]"
Kratom Trade Association,"[0, 38]"
Priorities USA Action,"[0, 36]"
AFGE,"[0, 33]"
Janet Mills,"[0, 32]"
Airlift,"[0, 31]"
Congressional Leadership Fund,"[0, 30]"
Oxfam,"[0, 28]"
Divided We Stand,"[0, 28]"
SDSU WEST,"[0, 27]"
Animal Matters,"[0, 27]"
Alliance for a Better Minnesota,"[0, 25]"
Sivoli For Senate,"[0, 22]"
Tim Barnsback for NC House,"[0, 19]"
Josh Harder,"[0, 18]"
Intersections,"[0, 16]"
Delegate Matt Morgan,"[0, 15]"
Jill Norgaard for AZ House,"[0, 12]"
Dana Balter for Congress,"[0, 11]"
Phil Bredesen,"[0, 8]"
Diane Mitsch Bush for Colorado CD3,"[0, 8]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 6]"
Jeff Johnson,"[0, 6]"
Jarrett Cox for House District 21,"[0, 6]"
Buffy Wicks,"[0, 6]"
Dave Yost,"[0, 5]"
Adam Greenberg for Senate,"[0, 3]"
