Save the Storks,"[4607, 11208]"
Human Coalition,"[4430, 13980]"
Mercy Corps,"[4386, 9467]"
DiversityInc,"[4365, 10872]"
Democratic Governors Association (DGA),"[4326, 12174]"
Independent Voter,"[4281, 11138]"
Stand for the 2nd Amendment,"[4246, 12516]"
Conservative Gear,"[4165, 15230]"
Ocean Conservancy,"[4136, 26841]"
The Y,"[4106, 8211]"
NRATV,"[4061, 9775]"
Conservative Tribune,"[4031, 9799]"
Charles Kochlacs for Judge,"[4000, 26989]"
Stout for State Rep,"[4000, 21994]"
Emerge Oregon,"[4000, 21994]"
Barry Shapiro-for a Change.,"[4000, 20995]"
Cooper for Fairview,"[4000, 19996]"
KATU News,"[3982, 7963]"
UnitedHealthcare,"[3934, 10269]"
Boredom Therapy,"[3919, 8449]"
Oregonians for Better Government,"[3824, 21114]"
FullMedicare.com,"[3816, 12040]"
Roy Zimmerman,"[3783, 18908]"
Larry Hoff,"[3763, 9890]"
Oxfam,"[3759, 8026]"
Northwest Accountability Project,"[3742, 22646]"
Pat Harris for U.S. Senate,"[3679, 9437]"
Patriot Depot,"[3661, 11049]"
NowThis Entertainment,"[3630, 9075]"
American AF,"[3620, 11532]"
Washington State Democratic Party,"[3585, 7170]"
Liz Hallock for LD 14 #flipthe14th,"[3581, 16736]"
Conservation International,"[3502, 7217]"
Proud Americans Supply Gear,"[3457, 8786]"
Progressive Turnout Project,"[3420, 7790]"
The Daily Show,"[3326, 7300]"
Demand Justice,"[3293, 7261]"
Claire McCaskill,"[3258, 6648]"
Make America Great Again - Republican,"[3222, 11076]"
Brigade,"[3204, 8009]"
Crider For Sheriff,"[3199, 6590]"
Be A Hero,"[3197, 9547]"
We The People Holsters,"[3183, 10566]"
I Am An Immigrant,"[3156, 7838]"
NowThis,"[3154, 7522]"
Likewise Media,"[3135, 6270]"
Alexandria Ocasio-Cortez,"[3100, 6818]"
Heifer International,"[3058, 6313]"
Amnesty International USA,"[3013, 10611]"
Alyssa McConnel for Douglas County Commissioner,"[3000, 22989]"
Ricky Barajas,"[3000, 20991]"
Representative Pam Marsh,"[3000, 16995]"
Deschutes County Commissioner Tony DeBone,"[3000, 15996]"
"Marion County, Oregon","[3000, 14997]"
Labor Temple Diner & Bar,"[3000, 14997]"
Civil Liberties Defense Center,"[3000, 14997]"
World Without Coal,"[2991, 14950]"
Oregon Tree Talk,"[2966, 14826]"
Seth Moulton,"[2916, 5832]"
Graham Phalen for Wahkiakum County Sheriff,"[2915, 15784]"
Circa,"[2905, 8527]"
"Dr. Brent Brookbush DPT, PES, CES, CSCS","[2897, 14486]"
Nine Line Apparel,"[2889, 7004]"
Stand Up America,"[2877, 27130]"
International Rescue Committee,"[2762, 5546]"
Dinesh D'Souza,"[2636, 17551]"
NRSC,"[2623, 6042]"
In Search of Liberty,"[2614, 5941]"
Marsha Blackburn,"[2553, 6382]"
Greenpeace USA,"[2546, 10245]"
Center for Biological Diversity,"[2526, 5275]"
ASPCA,"[2284, 5978]"
FuzzWeb,"[2284, 5941]"
Giving Brush,"[2283, 6125]"
Erase The Hate,"[2276, 5680]"
Help for Essure Victims,"[2222, 5260]"
PrintedKicks,"[2191, 5867]"
Between the Scenes,"[2109, 4218]"
Washington Policy Center,"[2075, 8593]"
Zephyr Teachout,"[2062, 8206]"
Build With Strength,"[2059, 4627]"
VoteTogether,"[2020, 11879]"
Cynthia Nixon for New York,"[2017, 5998]"
Ryan C. Johnson For Gresham City Council position  4,"[2000, 22985]"
Christine Lewis for Metro,"[2000, 17990]"
Cascadia Progressive Forum,"[2000, 17049]"
ReElect Colleen Roberts for County Commissioner,"[2000, 15992]"
Chris Chenoweth for City Council,"[2000, 13994]"
Marc Koller for Congress,"[2000, 12871]"
Lindsey Deckard for Alabama Senate,"[2000, 11996]"
Andrew Davis for Bend City Council,"[2000, 11996]"
Representative Sherrie Sprenger,"[2000, 10997]"
John Wendland for Lake Oswego City Council,"[2000, 10997]"
Jack Zika,"[2000, 10997]"
Oregon Center for Public Policy (OCPP),"[2000, 9998]"
Monmouth City Councilor Roxanne Beltz,"[2000, 9998]"
EagerLaw PC,"[2000, 9998]"
AFT-Oregon,"[2000, 9998]"
National Wildlife Federation Action Fund,"[1996, 9980]"
Shield Republic,"[1990, 6474]"
Abdul El-Sayed,"[1985, 6638]"
Proud Right Winger,"[1972, 5738]"
The Young Turks,"[1949, 9536]"
Oregon Food Bank,"[1946, 12671]"
NARAL Pro-Choice Oregon,"[1936, 9680]"
Congressional Black Caucus PAC (CBC PAC),"[1931, 4362]"
Donald J. Trump - USA,"[1914, 4785]"
Portland Democratic Socialists of America,"[1887, 29214]"
Made In America Tax,"[1887, 3935]"
Kamala Harris,"[1870, 32034]"
MJ for Texas,"[1815, 6000]"
Wild Kingdom TV,"[1809, 3618]"
Drug Injury News,"[1752, 4379]"
Washington Education Association,"[1734, 8667]"
Bark for Barry,"[1712, 8558]"
Airbnb,"[1678, 3355]"
Jeff Merkley,"[1651, 6878]"
BrainFall.com,"[1647, 4314]"
League of Conservation Voters,"[1641, 3282]"
Giffords,"[1636, 9558]"
Amy Vilela,"[1608, 3631]"
Freddy Rodriguez for City Council,"[1553, 8360]"
Rebel Rampage,"[1487, 7433]"
Oceana,"[1476, 10623]"
PETA (People for the Ethical Treatment of Animals),"[1465, 2977]"
WA Immigrant Solidarity Network -Red de Solidaridad de Inmigrantes en WA,"[1461, 7305]"
Richard Painter,"[1460, 2920]"
NowThis Politics,"[1441, 2883]"
World Mercury Project,"[1409, 2820]"
Human Life Action,"[1385, 2771]"
Friends of the Earth U.S.,"[1382, 6932]"
Mic,"[1356, 2711]"
We Are The Mighty,"[1354, 4083]"
Winning For Women,"[1349, 3210]"
Jay Sekulow,"[1349, 2698]"
World Peace Placards,"[1345, 3363]"
ExxonMobil,"[1338, 4528]"
NEA Today,"[1335, 4666]"
Kevin McCarthy,"[1333, 4103]"
Lisa Brown,"[1315, 5987]"
Joe Kennedy III,"[1312, 3952]"
Unspeakable Crimes,"[1312, 2926]"
Distractify,"[1303, 6678]"
NRA - National Rifle Association of America,"[1300, 4441]"
Matthew J. Stroe for Walla Walla County Sheriff,"[1287, 4615]"
Charlie Kirk,"[1276, 2552]"
Jacky Rosen for Nevada,"[1258, 2975]"
American History TV,"[1248, 2496]"
"Imprimis, a Publication of Hillsdale College","[1227, 2500]"
FCTRY,"[1217, 3036]"
Ford Foundation,"[1204, 2408]"
Lori Sanders for Benton County Commissioner,"[1195, 5974]"
U.S. Chamber of Commerce,"[1193, 2387]"
Proud American Hunter,"[1157, 2865]"
Protect The House,"[1152, 3198]"
Convention of States,"[1151, 3769]"
Comedy Central Central,"[1141, 2282]"
BRITE CA,"[1115, 2238]"
Laurie Lebowsky,"[1114, 5569]"
National Democratic Redistricting Committee,"[1099, 6223]"
dittymoji,"[1082, 3665]"
Sandy Hook Promise,"[1062, 2890]"
Tony Evers,"[1035, 4915]"
Fahrenheit 11/9,"[1019, 2850]"
Adam Schiff,"[1008, 5182]"
Struthers for Corvallis Ward 9,"[1000, 13990]"
Kathryn Harrington for Washington County Chair,"[1000, 10993]"
Portland Children's Levy,"[1000, 10513]"
Elect Jim Herndon Medford City Council Ward 2,"[1000, 9994]"
Oregon Wildlands,"[1000, 8995]"
Daniel Bonham,"[1000, 8995]"
Queer Eugene News,"[1000, 7996]"
Judge Ulanda Watkins,"[1000, 6997]"
Geraldine For Florence,"[1000, 6997]"
Dean Sawyer 4 Mayor,"[1000, 6997]"
Speaking Moderately,"[1000, 5998]"
Southern Oregon Land Conservancy,"[1000, 5998]"
RetireVersity,"[1000, 5998]"
Oregon Wild,"[1000, 5998]"
Oregon Health Authority,"[1000, 5998]"
Marc Koller,"[1000, 5998]"
Josephine County Democrats,"[1000, 5998]"
ICES Oregon - Youth Exchange Programs,"[1000, 5998]"
Eugene Neighborhoods,"[1000, 5998]"
