Coverage of the Trump Presidency by The Epoch Times,"[0, 121]"
Working Families Party,"[0, 97]"
Greenpeace USA,"[0, 94]"
Kentucky Family Values,"[0, 91]"
Stand Up America,"[0, 83]"
Pfizer,"[0, 81]"
Crime Survivors for Safety and Justice,"[0, 71]"
Betty Black for Nicholasville City Commissioner,"[0, 71]"
Phil Bredesen,"[0, 68]"
Power In Cooperation,"[0, 61]"
Maple Heights African American Gazette,"[0, 58]"
CRTV Tonight with Gavin McInnes,"[0, 57]"
Sarasota citizen Martin Hyde,"[0, 56]"
WhyHunger,"[0, 54]"
Conversations with Bill Kristol,"[0, 52]"
Shield Republic,"[0, 51]"
The Western Journal,"[0, 45]"
Patriot Depot,"[0, 45]"
Build With Strength,"[0, 45]"
Sivoli For Senate,"[0, 42]"
Giving Brush,"[0, 40]"
EMILY's List,"[0, 40]"
Notorious Rbg - Protect Women Power,"[0, 39]"
American Jewish World Service - AJWS,"[0, 38]"
AFGE,"[0, 38]"
Energy Nation,"[0, 37]"
Claire McCaskill,"[0, 37]"
Gayle Kemp for State House,"[0, 33]"
Alliance for a Better Minnesota,"[0, 33]"
PrintedKicks,"[0, 32]"
Justice Democrats,"[0, 32]"
National Center for Transgender Equality Action Fund,"[0, 31]"
Sam Edney,"[0, 30]"
Pursuit,"[0, 30]"
PETA (People for the Ethical Treatment of Animals),"[0, 29]"
Bill Nelson,"[0, 29]"
National Network of Abortion Funds,"[0, 26]"
Proud Right Winger,"[0, 23]"
45th President Donald J. Trump,"[0, 22]"
Bob Rosipal for Sheriff,"[0, 21]"
Branding Keywords,"[0, 17]"
The Vegan Vibe,"[0, 16]"
Planned Parenthood,"[0, 16]"
Dean Phillips for Congress,"[0, 16]"
Conservation International,"[0, 15]"
Andy Kim for Congress,"[0, 14]"
LCV Victory Fund,"[0, 12]"
California Nurses Association,"[0, 7]"
AFSCME Council 31,"[0, 7]"
David Breitenbucher for City Council,"[0, 6]"
Conservative Gear,"[0, 6]"
PCCC - BoldProgressives.org,"[0, 5]"
Kate Brophy McGee - State Senate,"[0, 5]"
Cort VanOstran for Congress,"[0, 5]"
Texans for Natural Gas,"[0, 4]"
Scott Dianda,"[0, 2]"
Association of American Railroads,"[0, 2]"
