Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,230
Unite America Inc.,229
the Committee to Elect Adam DeMarco,227
Friends of Deni Taveras ,227
Stand Up America,226
Antonio Sabato Jr. For Congress,225
Brooke Lierman for Delegate; Eben Hansel, Treasurer. ,221
Serve America Movement,218
Cheddar,217
Vote Solomon,216
Movement Voter Project,216
Anera,211
Ammar Campa-Najjar for Congress.,211
the National Network of Abortion Funds,209
Topic,209
The Innocence Project,209
Rob Wittman for Congress,208
Baria for Mississippi,203
LeadingResponse,202
Friends of Bernie Sanders,199
Save the Children US,198
FreedomWorks,198
the NRCC and not authorized by any candidate or candidate's committee.,195
Viking Books,195
NM Religious Coalition for Reproductive Choice,191
the National Democratic Redistricting Committee,189
Veena Lothe for Virginia,188
Committee to Elect Matt Wills,187
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,185
Synthisophy,182
Dean Phillips for Congress,181
Media Research Center,180
Rebel Rampage,179
Spotify,174
Citizen SHE United,173
The Mercatus Center at George Mason University,171
the Environmental Working Group,170
NARAL Pro-Choice Maryland,168
Jerusalem Prayer Team and Friends of Zion,168
Suddarth for Congress,167
Sinema for Arizona,166
Likewise Media,166
Paid for by Republican Central Committee for Prince George's County,163
Chris Wilhelm for County Council,163
Kialo,162
EMILY's List,160
Barbara Kanninen for School Board Committee,160
Save The Storks,158
Military Officers Association of America (MOAA),156
Friends of Lorna Phillips Forde,155
Center for Biological Diversity,154
NIAC Action ,150
Committee to Elect Soraya Diase Coffelt Governor,150
momsagainstpoverty,149
MJ for Texas,148
Buffy Wicks for Assembly 2018. FPPC #1396734,146
the Democratic Governors Association.,145
Democratic Grassroots Action Institute & Network,140
Trust Women,136
Ket Noi Nguoi Viet,136
Gary J. Cooney, Republican, for Lake County Clerk of the Circuit Court and Comptroller,136
Randy Boyd for Governor,135
DisabilityOver50,135
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,134
Ro for Congress,134
мои личные средства в рекламу моей компании,133
YallPolitics,131
Arjun Sethi, Author of American Hate,130
Paid for by Be a Hero PAC,129
Get Money Out - Maryland, an all-volunteer group seeking reforms so that so that all citizens have equal access to the ballot and an equal say in governance.,128
Committee to Elect Richard Ojeda,127
Chris Pappas for Congress,127
News For Democracy,125
Indivisible Action,125
OZY Media,123
Friends of Saif Rehman, Sana Rehman, Treasurer.,120
Bird + Stone ,120
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,119
John Godwin for Tampa City Council District 2,118
Shared Hope International,117
Tax March,115
Cliff Green for PGC DCC, Frank Fritz, Treasurer,115
Friends of Sherrod Brown,114
the National League of Cities,112
IVN News,112
the Alliance for Retired Americans.,109
World Relief,109
Suzanne Domagala ,109
Penzeys,107
New Hampshire Democratic Party,107
Santos for Congress,105
Washington Speakers Bureau,103
Dinesh D'Souza,103
Deb Rey for Maryland, Mary E Coombs Treasurer,103
NARAL Pro-Choice America,102
Friends of Jonathan Boniface; By Authority of Kristofer P. Cubello, Treasurer,102
China-US Focus,102
Avant Voce,102
Jesse Rojas - To The Point,101
Sanders For Congress,100
Rich Shumate,100
Mic,100
Delgado for Congress,98
and authorized by Janet Mills for Governor.,97
OAF Nation, Inc,97
Sandy Hook Promise,96
U.S. citizen Brian Kasher, not by any corporation, political action committee, political party or candidate. Truth2Power 4U is produced for people who want to make change in their own corner of the world. Truth2Power 4U does not endorse political candidates, take positions on legislation, or lobby. We promote participatory citizenship on social media.,95
O’Connor for Congress,95
Kathleen Riebe for Senate 8,95
Hallie Thompson for Congress,95
Environmental Voter Project,94
Conservative Gear,94
Campaign to Elect Dyotha R Sweat, B. Billie Treasurer,94
W.K. Kellogg Foundation,92
Arthur Winter,92
UltraViolet,91
Florida Strong Action PAC independently of any candidate.,91
Mac Schneider for North Dakota,90
Anita For Arizona ,90
NRDC Action Fund,89
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,89
Christopher Steven Jennison, Candidate for MCDCC District 19,89
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,88
League of Conservation Voters,88
UltimateStraw,86
Friends of Sherman Hardy,85
Friends of Angela Angel,85
Ringelstein For Maine,84
Francys Johnson for Congress,84
STARZ Shows,83
Foundation for Economic Education,82
Kevin de León for U.S. Senate,81
CARE,80
Americans for Transportation Mobility Coalition,79
Progress Virginia,78
Bill Nelson for U.S. Senate,78
World Food Program USA,77
National Constitution Center ,77
C. Paullin, Conservation Music volunteer.  The mission of Conservation Music is to enable grassroots action for a healthy planet by cultivating the use of music as an educational tool.,77
Abortion On Our Own Terms,77
Gumbo PAC,75
Kaine for Virginia,74
David Richardson for Congress,74
Common Ground Committee,74
Giving Brush LLC,73
Friends of Christopher Suarez,72
Friends of Jim Mathias. Donna Richardson West, Treasurer,71
People for Steven A. Ellis, Dana Polson Treasurer ,70
Friends of Mary Kay Sigaty, Hong Brereton, Treasurer,70
Opportunity First,69
NextGen Climate Action Committee,69
JVMI,68
Energy Citizens,68
the White Coat Waste Project, Inc,67
Texans for Natural Gas,67
Blue Wave 2018,67
